Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
rFVQpLqgokF,GOOD Video 29,"Mar 12, 2025",662.0,3643,263.1139,4,70412,5.19
crdx9uq0wfH,GOOD Video 30,"Mar 14, 2025",375.0,3292,265.1642,4,49537,7.39
cv6ywOv__NT,GOOD Video 31,"Mar 17, 2025",537.0,3110,245.4457,6,21403,5.2
pNYDHxqghLb,GOOD Video 32,"Mar 19, 2025",523.0,3342,160.782,4,28568,7.98
Emf97x9eOsr,GOOD Video 33,"Mar 22, 2025",537.0,3085,222.3093,4,26598,7.71
MQx6ag8rhI0,GOOD Video 34,"Mar 24, 2025",335.0,2471,135.5448,3,40998,4.64
ehPW41iMEs3,GOOD Video 35,"Mar 27, 2025",400.0,3189,224.2681,8,54059,5.7
UrxS4Vy5WSF,GOOD Video 36,"Mar 29, 2025",548.0,3088,259.3749,2,40541,5.44
n3FFGfdQq2u,GOOD Video 37,"Apr 01, 2025",671.0,3042,222.4633,4,20685,6.03
EumNCM2Y9b7,GOOD Video 38,"Apr 03, 2025",647.0,3357,251.7472,4,23945,8.71
3Qu8FodJs3n,GOOD Video 39,"Apr 06, 2025",691.0,3533,130.2861,10,31170,7.73
OG_ClWxuJjP,GOOD Video 40,"Apr 08, 2025",625.0,4521,321.9254,4,31602,5.3
UgjVGUAUhVC,GOOD Video 41,"Apr 11, 2025",722.0,4144,199.5906,9,71080,7.33
LvLkItr9H1H,GOOD Video 42,"Apr 13, 2025",395.0,4286,210.9733,11,56163,3.57
V_TnWtyj_Rh,GOOD Video 43,"Apr 16, 2025",446.0,4094,274.2122,4,60011,3.99
I0PKSb7RanA,GOOD Video 44,"Apr 18, 2025",609.0,4581,391.4582,9,71801,7.03
INYMxiD8gaR,GOOD Video 45,"Apr 21, 2025",337.0,4707,386.1093,4,54105,5.73
LBll2wJbTry,GOOD Video 46,"Apr 23, 2025",709.0,4533,316.5014,8,41459,6.46
UCvI6_U5-wK,GOOD Video 47,"Apr 26, 2025",443.0,4147,181.4491,6,71642,8.54
g_6tCW8Dpc1,GOOD Video 48,"Apr 28, 2025",723.0,3486,246.9947,5,27841,6.4
P0tmJppkoMi,GOOD Video 49,"May 01, 2025",411.0,4070,338.8626,7,60112,5.81
kWF7PDlyWuO,GOOD Video 50,"May 03, 2025",448.0,4352,257.6369,6,67087,5.85
kTysl5uXFYL,GOOD Video 51,"May 06, 2025",760.0,5155,394.4184,10,35135,7.3
a1iQpTi-yKE,GOOD Video 52,"May 08, 2025",737.0,4586,294.5183,7,56929,3.58
DEoHq6wCn4K,GOOD Video 53,"May 11, 2025",309.0,3760,290.7522,4,35187,5.1
IdEA0xXU8d5,GOOD Video 54,"May 13, 2025",644.0,5130,376.3144,11,49021,3.8
fwxwqWeyAiU,GOOD Video 55,"May 16, 2025",664.0,4998,436.0814,9,43151,4.69
PURKAAij32c,GOOD Video 56,"May 18, 2025",777.0,5167,343.8162,4,51455,6.98
pjVmtY8WXcz,GOOD Video 57,"May 21, 2025",283.0,5775,379.5699,4,62993,6.19
L4L1WckCdnp,GOOD Video 58,"May 23, 2025",528.0,4813,384.4907,7,54600,5.25
2q6ImaRQH24,GOOD Video 59,"May 26, 2025",347.0,5463,350.0725,8,92640,5.57
1E_uDwXucsk,GOOD Video 60,"May 28, 2025",657.0,5216,356.3138,8,42919,5.83
