Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
ktjk6dWMqhP,RANDOM Video 21,"Feb 20, 2025",343.0,1378,110.8912,2,23207,3.14
WX09e98V4WU,RANDOM Video 22,"Feb 22, 2025",288.0,1792,80.4387,1,21740,4.87
kjqrhSrk_7V,RANDOM Video 23,"Feb 25, 2025",491.0,2130,68.8697,2,42088,4.81
NOrrjCAvKxs,RANDOM Video 24,"Feb 27, 2025",627.0,2196,66.0679,1,41245,3.9
_WgvDQe_d9-,RANDOM Video 25,"Mar 02, 2025",388.0,5401,165.2557,4,70649,5.92
PY5WYqDsIst,RANDOM Video 26,"Mar 04, 2025",620.0,1872,110.7335,6,32536,5.84
Owt1gsqsNQ7,RANDOM Video 27,"Mar 07, 2025",624.0,1981,149.9069,2,35137,5.43
RP3H7Ukn26l,RANDOM Video 28,"Mar 09, 2025",518.0,1735,104.5086,2,12301,2.56
aTzLdoTaVut,RANDOM Video 29,"Mar 12, 2025",447.0,19881,1073.6146,24,175663,6.55
YfKVUlPSRPd,RANDOM Video 30,"Mar 14, 2025",519.0,6037,216.8454,8,70701,3.91
3IYb3C4FI4P,RANDOM Video 31,"Mar 17, 2025",640.0,2183,118.5252,7,24265,1.45
NmWn82uwFHe,RANDOM Video 32,"Mar 19, 2025",558.0,2395,143.9408,2,43215,8.83
3YSMnOyTBHi,RANDOM Video 33,"Mar 22, 2025",581.0,2144,207.3601,1,28901,1.34
HS-BimqwQTG,RANDOM Video 34,"Mar 24, 2025",793.0,1838,134.6682,4,13036,3.55
uVbysoLH3eG,RANDOM Video 35,"Mar 27, 2025",536.0,1982,133.0923,2,17210,3.96
BgSxYrK8p_j,RANDOM Video 36,"Mar 29, 2025",466.0,2425,165.7867,1,37842,5.64
HKTPPJkx564,RANDOM Video 37,"Apr 01, 2025",621.0,2313,71.5384,5,33280,3.11
Hho1av00qTk,RANDOM Video 38,"Apr 03, 2025",559.0,2365,110.1244,3,21943,3.54
87vlsVCauGm,RANDOM Video 39,"Apr 06, 2025",628.0,1263,64.3023,0,10604,5.99
lLgLakXLunR,RANDOM Video 40,"Apr 08, 2025",474.0,1636,28.1389,0,22419,5.37
Qw0WcfGVD0C,RANDOM Video 41,"Apr 11, 2025",360.0,11422,732.6521,11,167185,3.91
3EYVvUMT49j,RANDOM Video 42,"Apr 13, 2025",737.0,2536,208.5167,2,48697,5.12
K-Qp6CDvA7p,RANDOM Video 43,"Apr 16, 2025",128.0,1531,50.4414,0,17294,3.21
-SmoSDh82bH,RANDOM Video 44,"Apr 18, 2025",514.0,1872,102.8176,2,17854,5.77
Zrs3-VEMiZr,RANDOM Video 45,"Apr 21, 2025",549.0,5257,463.8871,7,51594,3.77
pjKY1-NMFdY,RANDOM Video 46,"Apr 23, 2025",636.0,1807,94.0597,1,22798,5.07
R7rReWm9aM-,RANDOM Video 47,"Apr 26, 2025",269.0,2057,134.7998,3,36343,4.96
BHlXnd6dHHR,RANDOM Video 48,"Apr 28, 2025",528.0,1459,89.5308,2,24861,1.21
k3zL_HlMbqq,RANDOM Video 49,"May 01, 2025",472.0,5673,425.9216,5,48876,3.88
tQvNF33a3Ug,RANDOM Video 50,"May 03, 2025",550.0,2377,243.5161,1,14753,5.1
1j4mhRtrylm,RANDOM Video 51,"May 06, 2025",593.0,1688,71.8618,1,22175,6.53
orOkAr5fpVo,RANDOM Video 52,"May 08, 2025",542.0,2065,30.1521,0,32305,5.58
K9XtwZYyYWV,RANDOM Video 53,"May 11, 2025",847.0,1588,110.8953,2,27488,1.9
7NFUyrJTKND,RANDOM Video 54,"May 13, 2025",470.0,1873,76.6776,3,27679,4.63
KHgJ0wDLyNg,RANDOM Video 55,"May 16, 2025",580.0,2013,144.059,3,21073,5.25
vLiuRd0bLjq,RANDOM Video 56,"May 18, 2025",561.0,1733,81.0063,2,27947,5.08
Y6xiTa6lOr5,RANDOM Video 57,"May 21, 2025",301.0,2161,91.1917,5,13786,6.48
XmlT9sHH1Gv,RANDOM Video 58,"May 23, 2025",637.0,1380,122.8877,1,14501,3.15
wqbZCfoTeRM,RANDOM Video 59,"May 26, 2025",683.0,1794,156.9717,2,23249,6.79
Lk4MSzcOBur,RANDOM Video 60,"May 28, 2025",332.0,5359,265.4801,5,42378,2.78
