Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
7IDA69Z7zrp,Fix this common bug in 10 minutes,"May 05, 2025",270,295,0.7425,0,1664,6.73
suUwpNFgFUL,A day in my life as a CS student,"May 08, 2025",829,109,0.2585,0,587,4.23
ugmANb7qiSX,Build a pandas in Python,"May 10, 2025",452,201,0.3924,0,1109,5.88
BbyOA0HNkIn,Finals week routine,"May 22, 2025",416,175,0.182,0,802,6.65
L2io6VOZw5l,Is this gadget worth it,"May 22, 2025",745,335,0.7383,0,1951,5.13
gi4piUfqygB,Weekend reset and productivity,"May 22, 2025",931,166,0.1673,0,535,1.22
ZbgmKRw609x,A day in my life as a CS student,"May 24, 2025",472,202,0.4093,0,1047,7.21
eEgbcWJNG5K,Is this gadget worth it,"May 26, 2025",369,869,1.8308,1,5882,7.08
1ks7RgLdi8R,Weekend reset and productivity,"May 28, 2025",681,579,1.4029,0,2467,2.9
6mMkgGYau5f,Best settings for FPS boost,"May 30, 2025",728,165,0.3681,0,1068,3.31
GwBnMxaOSc2,Build a Linux in Python,"May 31, 2025",730,676,0.8808,0,3143,5.82
Wqr6hVVXk07,Is this gadget worth it,"Jun 01, 2025",507,201,0.4621,0,695,6.02
BWlznUleZvt,Is this gadget worth it,"Jun 02, 2025",444,492,0.5363,0,2797,3.16
nShWzKbhNgV,Ranked grind highlights,"Jun 08, 2025",422,490,0.7033,0,2367,4.29
mPyagqqr5vJ,Best settings for FPS boost,"Jun 08, 2025",48,65,0.117,0,318,4.11
CZPeJMQW9cy,I tested VS Code for 7 days,"Jun 08, 2025",295,291,0.6967,0,1401,6.49
or89QtvnQzK,Build a SQLite in Python,"Jun 09, 2025",341,397,0.4807,0,2085,5.93
J7sQTVsbaXp,Flask dashboard from scratch,"Jun 14, 2025",363,153,0.3933,0,756,3.4
NMdB8FAsHzM,Weekend reset and productivity,"Jun 17, 2025",473,393,0.5088,0,1894,2.78
d5uVzdLU8ue,Ranked grind highlights,"Jun 17, 2025",415,198,0.4786,0,1300,4.42
n3dwHjhxCiQ,Is this gadget worth it,"Jun 28, 2025",898,500,1.0482,0,2375,6.63
xXVH0i8sUip,Pomodoro session and notes,"Jun 29, 2025",45,313,0.8086,0,1919,5.2
Hg7ZU6Dj90p,Flask dashboard from scratch,"Jul 01, 2025",900,2996,3.9615,4,10289,5.43
2wrrNRUKSLm,Flask dashboard from scratch,"Jul 01, 2025",538,119,0.2629,0,533,3.73
6m4RcOdarqB,A day in my life as a CS student,"Jul 03, 2025",792,504,1.0982,0,2307,6.14
ufIfBKKF0RD,Is this gadget worth it,"Jul 09, 2025",463,437,0.4485,0,2905,6.76
CKM658R6rCH,Markov Chain tutorial with examples,"Jul 09, 2025",575,568,1.4093,0,3944,6.58
eWf6RkJpOxE,Fix this common bug in 7 minutes,"Jul 10, 2025",634,520,0.7663,0,3483,7.12
fStFUWSus4j,Build a Git in Python,"Jul 10, 2025",798,802,2.0061,0,2823,4.67
jxjP1MusJWV,Study with me 10 hours,"Jul 11, 2025",541,904,1.1709,1,3069,2.02
i13eZhCZ0N1,Build a Linux in Python,"Jul 11, 2025",496,537,0.9183,0,3169,4.54
fx1xbxRzLyY,A day in my life as a CS student,"Jul 19, 2025",595,577,1.3337,0,3983,2.61
1LKllfWD42s,Quick tip: API keys,"Jul 19, 2025",456,267,0.1796,0,1236,3.11
s9bP1ZBeLIt,VS Code setup for faster coding,"Jul 20, 2025",757,766,1.3549,0,4907,6.13
ufbOPjgV0PB,5 Python tips you will use,"Jul 25, 2025",315,202,0.4898,0,1108,6.46
DzwvZ9vRiFF,Fast fix for YouTube analytics,"Jul 27, 2025",448,222,0.2113,0,1442,3.31
2aZy1f4D9IO,Ranked grind highlights,"Jul 29, 2025",236,203,0.2583,0,876,4.65
7A6jpVkOyRk,Pomodoro session and notes,"Jul 30, 2025",287,643,1.2248,0,4180,3.43
4dEtUhtPjX6,Ranked grind highlights,"Aug 03, 2025",508,503,0.5299,0,2024,2.96
ZcugmlwnLpM,VS Code setup for faster coding,"Aug 10, 2025",827,443,0.7445,0,2645,4.92
rzl6W7tOJ80,Campus life vlog,"Aug 16, 2025",578,179,0.3761,0,908,4.91
q63ZHiOVNrH,Best settings for FPS boost,"Aug 21, 2025",693,538,1.2596,0,2870,4.97
JX9fE3ozdn8,Ranked grind highlights,"Aug 23, 2025",709,1151,1.475,1,5152,4.97
dQ7p5a3E5xC,Quick tip: NumPy,"Aug 24, 2025",331,248,0.2323,0,1451,2.38
n062j0ifwrN,Budget setup review,"Aug 26, 2025",821,734,0.9714,1,3647,7.22
HFk819tutze,Campus life vlog,"Aug 27, 2025",449,992,1.5614,1,6925,4.67
t9vWzJQfqmm,Pomodoro session and notes,"Aug 30, 2025",375,214,0.2726,0,1226,8.56
sKhDXa22ZUn,Fast fix for Flask,"Aug 30, 2025",973,729,0.3677,0,3398,6.77
9VLI2GtbYmA,Ranked grind highlights,"Sep 01, 2025",634,772,1.4403,0,3496,6.14
eRigQzRDV9Y,Study with me 10 hours,"Sep 01, 2025",681,703,1.7299,1,4214,5.71
Xj0SyEv6ANa,Budget setup review,"Sep 04, 2025",559,352,0.8861,0,1739,6.1
UOvC0yfgjNg,Build a NumPy in Python,"Sep 05, 2025",715,484,0.8893,0,2731,5.66
DLTfgockhBA,A day in my life as a CS student,"Sep 06, 2025",199,168,0.426,0,857,2.47
m7HTT17mK8b,Budget setup review,"Sep 11, 2025",500,376,0.9127,0,2292,5.72
gNTkqXI5tJo,Is this gadget worth it,"Sep 12, 2025",443,144,0.3576,0,841,6.6
MHbqvmvtPCg,Fast fix for pandas,"Sep 16, 2025",642,431,0.2716,0,2653,4.66
5xpWKx1klMJ,Quick tip: YouTube analytics,"Sep 17, 2025",587,131,0.0746,0,814,6.05
tWQ2V6yNLOZ,Ranked grind highlights,"Sep 18, 2025",944,508,0.7998,0,3488,1.0
ASvvf73xrD4,A day in my life as a CS student,"Sep 18, 2025",448,275,0.6279,0,1239,6.81
JeJ6qk6V50v,Campus life vlog,"Sep 21, 2025",571,572,0.9824,0,1851,5.53
D152SA0BhKh,Fast fix for API keys,"Sep 26, 2025",747,600,0.6111,1,3235,4.36
HyhKzlvHiqp,Best settings for FPS boost,"Sep 27, 2025",153,154,0.3196,0,594,5.94
QYjz9FMgEwA,Finals week routine,"Sep 30, 2025",601,227,0.2653,0,1037,6.72
2CpG3zdESgH,I tested Flask for 7 days,"Oct 01, 2025",642,822,2.0634,1,4515,4.98
bu6dsUN5BUy,Budget setup review,"Oct 04, 2025",794,396,0.6475,0,1466,3.85
HYih4IK8Das,I tested YouTube analytics for 7 days,"Oct 08, 2025",636,163,0.2724,0,527,4.98
5C0HzjwSLoc,Markov Chain tutorial with examples,"Oct 09, 2025",768,552,0.841,0,2097,5.64
j7XXE4nms27,Flask dashboard from scratch,"Oct 10, 2025",928,4164,8.3016,7,25083,5.85
e6U93Qx3IAK,Study with me 5 hours,"Oct 11, 2025",508,537,1.3346,0,3037,6.23
TSmrlUpGQsY,Weekend reset and productivity,"Oct 16, 2025",870,921,1.5859,0,3428,6.99
r3AT4ivS98X,Markov Chain tutorial with examples,"Oct 20, 2025",633,872,1.2771,0,4237,4.8
EblO4SJmIOp,Build a SQLite in Python,"Oct 21, 2025",653,161,0.2908,0,709,6.6
caMLsIqBZKf,I tested pandas for 7 days,"Oct 22, 2025",660,625,0.7976,0,2562,7.08
JXP6xuQEYcH,New update first impressions,"Oct 22, 2025",385,393,0.7822,0,1696,1.0
JblY5j5cND6,Campus life vlog,"Oct 23, 2025",776,879,1.183,1,3557,5.05
t57lQoriOQf,Fix this common bug in 3 minutes,"Oct 26, 2025",401,123,0.1768,0,566,5.56
ZBGCUq2Zbeh,I tested API keys for 7 days,"Nov 05, 2025",322,220,0.5246,0,799,3.24
LMFqcmMTdKC,Ranked grind highlights,"Nov 09, 2025",452,135,0.346,0,856,5.39
XXkhMBpQCJX,Pomodoro session and notes,"Nov 09, 2025",471,538,1.174,0,2352,6.67
yqpkFSQ1MYD,7 Python tips you will use,"Nov 17, 2025",661,353,0.5987,0,1301,8.26
jdtBcSu0NVH,Is this gadget worth it,"Nov 18, 2025",630,995,1.81,0,3694,5.56
9ciFWWMijVD,Best settings for FPS boost,"Nov 21, 2025",476,82,0.1459,0,335,3.99
2pADf7oxtv8,Flask dashboard from scratch,"Nov 21, 2025",722,698,0.9252,1,2312,5.46
fzJtEB7ecRT,Campus life vlog,"Nov 22, 2025",650,314,0.579,0,1395,5.33
YdnAwplYJZk,1-minute hack,"Nov 27, 2025",464,125,0.0924,0,423,6.15
U7XxiXpU16h,7 Python tips you will use,"Nov 28, 2025",1001,446,0.6006,0,2404,4.16
dVvKS634L74,A day in my life as a CS student,"Nov 29, 2025",328,227,0.3091,0,921,3.71
tECFORl3FnI,Weekend reset and productivity,"Nov 30, 2025",953,377,0.8837,0,2235,5.44
8rNbHlVqGzK,VS Code setup for faster coding,"Dec 01, 2025",659,667,1.515,0,2976,4.54
qX4HQdtzMpF,Ranked grind highlights,"Dec 10, 2025",838,237,0.4131,0,1159,6.02
nic2bVOEKaZ,Flask dashboard from scratch,"Dec 12, 2025",271,457,0.4716,0,3059,6.02
n1rITCziyH3,Pomodoro session and notes,"Dec 13, 2025",665,711,1.2161,1,4535,5.29
ntABEISiHTJ,Is this gadget worth it,"Dec 14, 2025",332,343,0.3539,0,1583,5.54
wQh9X3xpYOq,Quick tip: SQLite,"Dec 18, 2025",890,686,0.3577,1,4074,3.97
y7vsFTrok7z,Ranked grind highlights,"Dec 27, 2025",883,879,2.2117,0,4192,5.75
