Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
e1cc66ac584,GoodChannel Video 0084,"Dec 24, 2016",16.3,15277,2692.976,87,44.84,136128,11.79
700ecf52132,GoodChannel Video 0085,"Jan 26, 2017",10.9,10341,1363.5954,53,18.8,170575,6.64
9b6f822d850,GoodChannel Video 0086,"Jan 22, 2017",12.0,22180,2510.9352,30,29.56,579664,3.45
5e419ec357a,GoodChannel Video 0087,"Jan 27, 2017",12.2,24233,3034.1956,196,32.03,300829,7.06
4ac6ffd33c1,GoodChannel Video 0088,"Jan 13, 2017",15.2,11632,1976.1073,46,25.46,134010,8.67
4b9c2eb099d,GoodChannel Video 0089,"Jan 03, 2017",8.1,5560,413.5367,32,17.88,60980,8.73
8bde2465595,GoodChannel Video 0090,"Jan 17, 2017",7.0,7909,622.8295,29,9.43,80720,10.13
a72e4a0362e,GoodChannel Video 0091,"Jan 24, 2017",13.2,17768,2472.957,134,51.99,256356,7.16
da420398e2b,GoodChannel Video 0092,"Jan 05, 2017",6.0,22795,1116.516,141,69.25,207545,9.64
f0b608df6ec,GoodChannel Video 0093,"Feb 13, 2017",11.5,8379,882.5698,85,31.89,107409,7.52
454c3b050da,GoodChannel Video 0094,"Feb 03, 2017",9.3,21915,2407.4787,159,62.81,266768,8.65
8a3e499a209,GoodChannel Video 0095,"Feb 23, 2017",14.4,5134,651.9096,48,19.28,62631,7.65
95526a9d800,GoodChannel Video 0096,"Feb 23, 2017",14.0,28782,3655.2244,196,64.89,391969,7.52
f191b368b6a,GoodChannel Video 0097,"Feb 04, 2017",12.8,13106,1735.0703,85,29.35,135179,10.74
f3bf3a271fd,GoodChannel Video 0098,"Feb 12, 2017",8.7,12602,1194.1981,85,7.46,173965,6.16
ee7d1ad62bf,GoodChannel Video 0099,"Feb 06, 2017",17.0,24520,3892.4532,94,61.55,263569,9.35
ebc6eaa2e98,GoodChannel Video 0100,"Feb 21, 2017",18.1,25076,4533.3707,161,50.61,293748,7.26
f289d39998b,GoodChannel Video 0101,"Feb 01, 2017",14.0,10379,1434.4662,67,25.38,169032,6.37
7c2bbecd45b,GoodChannel Video 0102,"Mar 08, 2017",18.8,7532,1464.1449,46,15.77,158507,3.69
942e46796fa,GoodChannel Video 0103,"Mar 03, 2017",6.0,17744,1052.9294,80,24.75,148801,10.31
3de7402bd3f,GoodChannel Video 0104,"Mar 14, 2017",18.7,39206,7610.3365,373,82.96,698569,6.9
5c37a1c4bdc,GoodChannel Video 0105,"Mar 17, 2017",14.5,81993,13593.4774,433,144.24,830727,9.03
95ee7c004a9,GoodChannel Video 0106,"Mar 02, 2017",13.1,16634,2364.1795,35,46.58,229979,7.53
805041a248a,GoodChannel Video 0107,"Mar 20, 2017",7.2,13820,1129.5133,46,25.34,165597,7.65
62a4742c9ff,GoodChannel Video 0108,"Apr 13, 2017",14.1,8544,980.0578,18,18.7,97787,8.8
363e6c99a03,GoodChannel Video 0109,"Apr 04, 2017",12.6,14647,1665.962,54,17.81,206328,7.91
fa448837372,GoodChannel Video 0110,"Apr 12, 2017",18.0,11733,1974.7919,57,21.5,311435,3.0
0268e21ae87,GoodChannel Video 0111,"Apr 03, 2017",11.8,26489,3391.0091,78,67.57,377967,6.28
bdea65f1d74,GoodChannel Video 0112,"Apr 03, 2017",12.4,35629,4452.7278,123,80.63,696512,6.38
d4dc25edde5,GoodChannel Video 0113,"Apr 05, 2017",10.0,18504,2123.721,154,64.63,201437,8.5
b5f68ac7f87,GoodChannel Video 0114,"May 20, 2017",6.0,13015,754.8672,74,50.68,222265,5.94
66229008305,GoodChannel Video 0115,"May 13, 2017",14.7,13643,2170.5757,114,50.24,178785,7.64
420a00638a9,GoodChannel Video 0116,"May 04, 2017",15.4,8232,1434.0811,53,24.68,124770,7.34
8abf7ff4ce5,GoodChannel Video 0117,"May 25, 2017",17.8,18176,2237.1488,123,0.0,275643,6.86
a5104188058,GoodChannel Video 0118,"May 11, 2017",14.8,20158,3561.5283,101,85.04,340912,5.41
984cde827b9,GoodChannel Video 0119,"May 02, 2017",14.6,37722,5632.7928,224,36.66,428968,7.74
dbc42e68f50,GoodChannel Video 0120,"May 08, 2017",10.0,25773,2639.5516,166,71.01,329250,7.56
448baece99d,GoodChannel Video 0121,"May 18, 2017",8.8,28461,2728.0971,197,23.4,349549,6.76
38b7c458238,GoodChannel Video 0122,"Jun 03, 2017",14.5,22871,3309.2415,115,68.24,478246,4.97
cd8b15eec2b,GoodChannel Video 0123,"Jun 10, 2017",20.2,33296,7543.2834,208,77.17,475254,7.3
21895a5b773,GoodChannel Video 0124,"Jun 09, 2017",12.8,10818,1427.1567,72,30.32,172353,6.75
d9b36dd997e,GoodChannel Video 0125,"Jun 04, 2017",16.0,19899,3108.7793,54,25.06,442321,5.28
e4ab983178d,GoodChannel Video 0126,"Jun 25, 2017",13.2,13897,1969.592,92,35.7,216582,6.89
ecd9573e240,GoodChannel Video 0127,"Jun 26, 2017",6.0,13222,819.3115,107,43.22,371371,3.58
6ee36d0d652,GoodChannel Video 0128,"Jun 15, 2017",11.0,21097,2664.6725,103,61.71,322051,6.55
58e8a230707,GoodChannel Video 0129,"Jul 09, 2017",16.9,24726,3898.0674,122,66.47,292368,7.68
683e67d1ff2,GoodChannel Video 0130,"Jul 09, 2017",14.8,8505,1654.2019,28,29.98,120811,7.13
f9dc7ea0fa5,GoodChannel Video 0131,"Jul 17, 2017",14.6,17970,3165.886,91,57.85,212506,8.3
a2e23fb2121,GoodChannel Video 0132,"Jul 16, 2017",12.8,9338,1220.3564,52,11.18,131710,8.32
1e503ae94cd,GoodChannel Video 0133,"Jul 04, 2017",6.6,10192,919.5115,49,35.59,149271,7.91
740887127b9,GoodChannel Video 0134,"Jul 18, 2017",12.4,21361,2609.8177,68,17.32,284360,7.61
f727134df02,GoodChannel Video 0135,"Jul 16, 2017",11.9,12131,1521.2543,57,40.08,176820,7.52
7396b1851f8,GoodChannel Video 0136,"Jul 03, 2017",15.0,28765,4760.7562,207,76.74,335531,9.74
6e338c8a34d,GoodChannel Video 0137,"Aug 09, 2017",7.6,11336,1036.5429,62,13.18,126732,9.85
a9e68fb3606,GoodChannel Video 0138,"Aug 06, 2017",13.4,18328,2640.2759,74,47.75,183776,9.54
8c3a148e988,GoodChannel Video 0139,"Aug 07, 2017",10.0,15414,1911.4639,89,30.53,208054,7.17
2b8bcf3bac1,GoodChannel Video 0140,"Aug 02, 2017",9.4,15185,1451.0481,130,34.25,282540,6.27
25ea360b5bb,GoodChannel Video 0141,"Aug 09, 2017",12.6,17585,1778.515,86,38.92,119791,10.59
6db306f437f,GoodChannel Video 0142,"Aug 26, 2017",14.9,14206,2231.519,113,34.74,171003,9.33
24f2c1fd8da,GoodChannel Video 0143,"Sep 05, 2017",13.4,18303,2135.4455,66,34.28,127274,10.15
4e7a3b5083c,GoodChannel Video 0144,"Sep 26, 2017",7.0,10639,922.1888,55,19.92,231508,5.95
bcfd9039c65,GoodChannel Video 0145,"Sep 26, 2017",6.0,17151,871.2343,77,40.03,297625,5.7
ed20e4349f5,GoodChannel Video 0146,"Sep 21, 2017",14.7,8847,1436.9017,53,8.5,88481,9.04
92a4364c501,GoodChannel Video 0147,"Sep 17, 2017",14.5,25622,4264.3865,141,73.67,418589,7.25
747e8db6d99,GoodChannel Video 0148,"Sep 10, 2017",20.8,9308,1765.2063,31,16.41,188044,5.83
ef8f93aa7d8,GoodChannel Video 0149,"Oct 03, 2017",10.4,13156,1777.6127,87,39.44,189251,6.22
196092bc175,GoodChannel Video 0150,"Oct 12, 2017",12.3,12874,1297.1588,19,14.47,394041,2.73
8d67a4a36db,GoodChannel Video 0151,"Oct 06, 2017",12.8,38764,4613.6369,273,110.7,514623,8.24
e680bc91537,GoodChannel Video 0152,"Oct 13, 2017",15.2,26025,3550.1239,161,64.92,345871,6.51
c4744191136,GoodChannel Video 0153,"Oct 22, 2017",13.1,26088,4042.5135,104,96.92,359305,8.61
05e78d4b5e5,GoodChannel Video 0154,"Oct 19, 2017",17.2,19788,3444.71,57,60.76,229284,6.76
f104e15dafd,GoodChannel Video 0155,"Oct 27, 2017",9.8,22505,2481.4582,133,84.75,335923,6.19
01c24a0cf88,GoodChannel Video 0156,"Nov 14, 2017",13.4,30775,4202.4577,133,86.04,456926,6.7
c7801765041,GoodChannel Video 0157,"Nov 05, 2017",15.4,46263,7659.2522,220,102.75,437060,10.11
b1b490f868b,GoodChannel Video 0158,"Nov 17, 2017",19.5,24265,3687.4769,48,70.76,390303,7.11
932cd163424,GoodChannel Video 0159,"Nov 13, 2017",14.0,9578,1514.7927,61,17.29,159303,7.46
12f177c5d5f,GoodChannel Video 0160,"Nov 12, 2017",6.0,22890,1313.2245,84,30.47,205749,9.02
408c253915d,GoodChannel Video 0161,"Nov 26, 2017",6.0,27851,1243.1249,112,92.18,304977,8.86
556fb80c887,GoodChannel Video 0162,"Nov 26, 2017",11.6,10381,1302.2478,74,40.0,106617,8.95
55c12280e10,GoodChannel Video 0163,"Dec 26, 2017",7.1,39849,2899.6952,115,95.87,606209,6.13
a0ae524bb96,GoodChannel Video 0164,"Dec 16, 2017",14.2,8641,997.0433,33,25.83,129308,7.28
0ec4c8126e7,GoodChannel Video 0165,"Dec 06, 2017",14.6,57575,11381.697,321,85.32,744540,8.34
b57146bc3cb,GoodChannel Video 0166,"Dec 04, 2017",14.8,15497,2450.2022,70,46.87,350833,5.64
1b3a1c62372,GoodChannel Video 0167,"Dec 15, 2017",12.0,28208,4249.1743,196,52.51,568193,5.17
c132c345203,GoodChannel Video 0168,"Dec 02, 2017",11.4,18006,1699.8068,139,33.46,293043,6.82
a8e87e5fec5,GoodChannel Video 0169,"Dec 14, 2017",8.5,42996,3127.6965,329,110.26,492161,9.74
0453766d5fe,GoodChannel Video 0170,"Jan 17, 2018",14.5,29299,5105.5273,248,0.0,387804,7.82
cdfd4e6bff1,GoodChannel Video 0171,"Jan 13, 2018",12.3,8232,921.0405,55,11.33,123420,7.67
cee8652557c,GoodChannel Video 0172,"Jan 06, 2018",18.9,16011,3786.4239,115,32.6,149017,8.33
0cad90291ff,GoodChannel Video 0173,"Jan 18, 2018",7.4,41351,2970.6006,200,116.82,583192,6.92
953afa8f740,GoodChannel Video 0174,"Jan 10, 2018",15.6,21475,4335.0951,62,71.61,242115,8.42
08c1eb28bd6,GoodChannel Video 0175,"Feb 04, 2018",21.9,38883,8590.2118,217,99.21,421864,9.25
a6ada60305e,GoodChannel Video 0176,"Feb 17, 2018",13.7,13623,2074.9166,102,26.65,168398,8.98
3e29eaca6d6,GoodChannel Video 0177,"Feb 21, 2018",9.5,9148,855.8712,1,9.86,114255,7.93
c7c36dce70b,GoodChannel Video 0178,"Feb 14, 2018",10.3,27423,2882.8034,180,117.73,643560,5.0
3da3a254b46,GoodChannel Video 0179,"Feb 01, 2018",11.8,16229,1950.9514,85,57.13,249083,6.91
b14304e1dfb,GoodChannel Video 0180,"Feb 13, 2018",22.2,23640,6012.2689,108,33.84,230120,10.71
4d6c3d81f53,GoodChannel Video 0181,"Feb 17, 2018",17.0,22993,3379.163,57,52.85,371103,5.18
57ce43554bc,GoodChannel Video 0182,"Feb 11, 2018",12.9,6487,1073.2109,20,11.99,88874,7.16
b9a71e82a4b,GoodChannel Video 0183,"Mar 11, 2018",15.3,24963,3575.0648,194,24.07,337203,8.09
1347a4b3145,GoodChannel Video 0184,"Mar 22, 2018",13.7,16700,2080.4204,88,20.15,207165,7.46
529aa739ba0,GoodChannel Video 0185,"Mar 07, 2018",8.4,34674,2797.3179,300,86.59,601440,5.37
6976228adc3,GoodChannel Video 0186,"Mar 07, 2018",15.0,7355,1156.73,45,19.81,122852,7.42
037fc0e68ef,GoodChannel Video 0187,"Mar 19, 2018",6.0,9292,661.4165,50,4.26,107819,7.88
6ab54d0e8cb,GoodChannel Video 0188,"Mar 17, 2018",6.0,20607,1433.251,173,42.18,273111,7.16
ec50a8a142f,GoodChannel Video 0189,"Mar 16, 2018",15.5,31812,4416.3088,319,42.52,441344,8.06
7ee7443c1fb,GoodChannel Video 0190,"Mar 06, 2018",6.3,14052,993.665,91,29.59,133065,10.23
c5316e9fd28,GoodChannel Video 0191,"Mar 23, 2018",12.1,8802,1145.2652,25,13.63,155005,6.05
a407a950705,GoodChannel Video 0192,"Apr 21, 2018",7.5,17290,1461.6792,99,31.94,305258,6.19
cac08ab53f5,GoodChannel Video 0193,"Apr 21, 2018",9.7,13000,1135.8334,82,37.14,206799,5.81
c404e11a7a7,GoodChannel Video 0194,"Apr 27, 2018",13.1,21645,2449.2406,75,48.19,266323,8.11
92a6b2b679c,GoodChannel Video 0195,"Apr 16, 2018",6.0,29544,1945.5259,136,61.82,300806,9.64
a9100f56cb2,GoodChannel Video 0196,"Apr 10, 2018",6.0,41028,2145.5628,130,83.84,677237,5.73
a9d2e25adcf,GoodChannel Video 0197,"Apr 20, 2018",14.5,31332,5535.3428,121,67.38,398994,8.08
f8bd12f719c,GoodChannel Video 0198,"May 12, 2018",7.3,21441,1655.9219,119,39.76,228745,9.94
a64c4b93f12,GoodChannel Video 0199,"May 18, 2018",12.0,24870,3266.5724,294,14.94,298979,7.64
145e06b07b1,GoodChannel Video 0200,"May 18, 2018",10.0,34976,4077.1311,223,112.58,503352,7.58
d35c829680c,GoodChannel Video 0201,"May 07, 2018",19.4,31292,5673.4431,197,68.36,282956,9.44
1ccf7ab8d13,GoodChannel Video 0202,"May 04, 2018",17.3,9643,1687.8533,29,25.58,104318,9.25
fe174cd9eb3,GoodChannel Video 0203,"May 05, 2018",11.2,36368,4136.2889,303,74.16,760283,4.81
d9ba63b0002,GoodChannel Video 0204,"May 23, 2018",11.0,51273,5658.8434,147,130.73,577655,8.47
d32065ed79e,GoodChannel Video 0205,"May 13, 2018",16.0,27326,4467.4688,262,89.42,201061,11.8
7d5717686dc,GoodChannel Video 0206,"Jun 17, 2018",13.0,30985,3413.4231,194,80.72,491044,6.24
3bb0d4ae8bb,GoodChannel Video 0207,"Jun 07, 2018",6.5,45701,2990.5294,137,58.37,511508,8.16
f5b69604a8a,GoodChannel Video 0208,"Jun 09, 2018",17.9,18666,3551.9354,107,55.73,201796,8.65
41a8ba21158,GoodChannel Video 0209,"Jun 24, 2018",6.7,12408,900.1707,63,53.82,161225,6.54
1e26ebeb971,GoodChannel Video 0210,"Jun 22, 2018",13.8,14268,1502.073,92,55.83,219463,6.61
de9af0d0b2f,GoodChannel Video 0211,"Jun 04, 2018",14.0,46625,5026.0383,340,97.83,602013,7.2
2683f0fb7a0,GoodChannel Video 0212,"Jul 05, 2018",10.7,20679,2548.5112,66,33.16,202042,8.59
9493e50dcad,GoodChannel Video 0213,"Jul 02, 2018",17.5,29179,5323.0671,177,61.81,470564,5.81
2e7094419d0,GoodChannel Video 0214,"Jul 09, 2018",12.1,12512,1327.3684,70,18.3,211333,6.57
f10932ac44d,GoodChannel Video 0215,"Jul 22, 2018",11.4,62323,7929.5741,277,104.75,624270,8.41
8b20b9ea0a8,GoodChannel Video 0216,"Jul 24, 2018",11.0,45188,4770.0462,220,144.12,685112,6.11
19bf12ab172,GoodChannel Video 0217,"Jul 10, 2018",19.8,96252,17112.354,428,157.17,1719589,5.64
2d8afc5a1c2,GoodChannel Video 0218,"Aug 21, 2018",12.4,14760,2495.7583,75,33.43,145682,9.02
eb63f09574e,GoodChannel Video 0219,"Aug 26, 2018",19.8,53348,11188.3999,200,187.58,556681,8.03
800b15cd8cc,GoodChannel Video 0220,"Aug 04, 2018",13.4,7547,1186.4416,62,5.79,142578,5.73
d7ecd54a98b,GoodChannel Video 0221,"Aug 16, 2018",17.1,11577,1971.8247,27,22.08,159737,7.49
1a433f54211,GoodChannel Video 0222,"Aug 06, 2018",12.4,21141,2845.9288,114,38.72,313910,6.7
d30c3f44e39,GoodChannel Video 0223,"Aug 08, 2018",6.0,37468,2574.9839,78,15.87,502019,7.5
dec72cd62c5,GoodChannel Video 0224,"Sep 10, 2018",13.7,23296,3473.2727,128,7.06,297883,8.7
ea67605d3f5,GoodChannel Video 0225,"Sep 11, 2018",17.9,42818,8683.0819,390,60.44,782207,5.92
9673328b907,GoodChannel Video 0226,"Sep 25, 2018",16.0,31001,5456.717,191,74.33,592913,5.49
7d178a3d66d,GoodChannel Video 0227,"Sep 12, 2018",18.9,18303,3932.0821,55,18.68,284462,6.44
4e8e495e783,GoodChannel Video 0228,"Sep 02, 2018",13.1,16239,2043.7362,105,31.35,257460,6.81
2f6c6493363,GoodChannel Video 0229,"Sep 19, 2018",14.9,20530,3301.4628,66,57.28,321014,7.2
8aa2d4fdd59,GoodChannel Video 0230,"Sep 19, 2018",18.7,52758,9927.3941,388,98.46,670091,8.02
c6b9f4f3e40,GoodChannel Video 0231,"Oct 25, 2018",10.8,22307,1966.9112,166,85.39,363682,5.35
c1aa00c2adc,GoodChannel Video 0232,"Oct 21, 2018",6.5,46641,3166.4644,93,113.81,438219,10.06
3f42d9356d2,GoodChannel Video 0233,"Oct 07, 2018",13.8,13265,1724.1665,49,3.44,175720,8.48
79c127f79ee,GoodChannel Video 0234,"Oct 05, 2018",10.7,13340,1292.593,65,42.21,151758,8.32
3dff5af2e8f,GoodChannel Video 0235,"Oct 17, 2018",12.5,44005,5769.2695,223,114.06,816512,5.41
321fa8cef19,GoodChannel Video 0236,"Oct 07, 2018",15.0,42407,4322.7093,202,132.43,2154843,2.25
b50f0f79c68,GoodChannel Video 0237,"Oct 14, 2018",7.1,17154,1426.0215,101,19.33,141188,9.35
d3d69b32eb8,GoodChannel Video 0238,"Nov 04, 2018",16.5,48812,7495.4374,419,48.08,1054322,4.41
0b48a296b71,GoodChannel Video 0239,"Nov 26, 2018",12.9,17220,1960.063,107,18.85,247794,6.28
07075b62a78,GoodChannel Video 0240,"Nov 18, 2018",11.5,12104,1294.8197,121,27.24,175460,6.15
c0463d9afe8,GoodChannel Video 0241,"Nov 04, 2018",6.0,22771,1556.5125,82,44.23,253197,7.89
35f36ed8341,GoodChannel Video 0242,"Nov 06, 2018",13.7,22940,2968.9702,160,55.39,317864,7.01
